gene_symbol,Control_rep2,Control_rep3,siCHD4_rep1,siCHD4_rep2,siCHD4_rep3,siARID1A_rep1,siARID1A_rep2,siARID1A_rep3,siCHD4siARID1A_rep1,siCHD4siARID1A_rep2,siCHD4siARID1A_rep3
WRAP73,4.083700099,4.291263491,4.335976258,4.028810072,4.16694666,4.124420899,4.322778678,4.384949904,4.180586296,4.543823461,4.164399235
TP73,0.732379464,0.653456811,1.179925366,1.565540393,0.907673059,0.639071119,1.214288682,0.520392735,0.493586585,1.391579599,0.404948768
TP73-AS1,5.480616712,5.343912101,5.705660965,5.436817011,5.677279741,5.22900576,5.3868162,5.296798289,5.727148456,5.575317281,5.692442709
CCDC27,0,0,0,0,0,0,0,0,0,0,0
SMIM1,0.499129606,0.494914811,0.882656383,0.617781509,0.398954152,0.876557592,0.841697936,0.120178238,0.493586585,0.721996544,0.648072672
LRRC47,5.998048441,5.97069311,6.120104558,6.074008315,6.051004436,6.036719444,6.006401994,6.001509292,6.034220575,6.165740792,5.956100725
RN7SL574P,0,0,0,0,0,0,0,0,0,0.217064144,0.1123805
CEP104,5.618096929,5.414824961,5.617496008,5.503496165,5.505826276,5.47179069,5.517305397,5.523505817,5.628288242,5.425310106,5.491490348
DFFB,2.959605845,2.818996863,3.103313554,3.022696105,2.785175267,3.212103081,3.343951715,3.263041019,3.282429612,3.530292539,3.07945722
C1orf174,4.954660699,4.832928618,4.576039789,4.721886639,4.78237868,4.846664794,4.85307594,4.869499716,4.928527588,4.90993991,4.933989079
LINC01134,0.581141739,0,0.707370424,0.236549226,0.398954152,0.876557592,0.121701854,0.231110731,0.218069761,0.791310687,0.313862762
LINC01345,0,0,0,0,0,0,0,0,0,0,0
LINC02780,0,0,0,0,0,0,0,0,0,0,0
EEF1DP6,0,0,0,0,0,0,0,0,0,0,0
LINC01777,0,0,0,0,0,0,0,0,0,0,0
LINC01646,0,0,0,0,0,0,0,0,0,0,0
